ID,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,Latitude,Longitude,FRP
1,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.08,-9.43916,-65.4539,11.6
2,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.2841,-65.66212,12.5
3,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.28264,-65.65154,13.3
4,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.27292,-65.65294,26.6
5,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.09,-9.17723,-65.33824,15.1
6,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.15341,-65.44792,17.1
7,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.15197,-65.43742,16.8
8,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.14161,-65.81686,8.3
9,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-9.13335,-65.30239,18.5
10,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,3,1.98,-9.12007,-66.99615,13.3
11,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.2,-8.983,-65.99807,6.9
12,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,MANICOR…,AmazÙnia,0,3.92,-8.65525,-61.95758,8.2
13,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,3.08,-8.64949,-62.0437,88.5
14,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,2,4.29,-8.6403,-64.2081,14.2
15,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-8.60555,-61.43306,4.7
16,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,AmazÙnia,5,4.15,-8.57757,-67.13378,388.1
17,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,AmazÙnia,5,4.04,-8.57579,-67.12074,396.2
18,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,0,2.42,-8.37734,-63.9771,8.6
19,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,3.41,-7.95817,-63.68396,15.7
20,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,3.71,-7.95688,-63.67496,18.8
21,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,4.55,-7.93974,-63.62893,16.1
22,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,3.92,-7.93599,-63.66619,15.7
23,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,4.17,-7.93469,-63.6572,28.1
24,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.90038,-61.16181,8.2
25,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,7,4.54,-7.82014,-63.56067,13.4
26,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,0,-7.79855,-62.45857,8.2
27,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.79377,-61.31628,11.9
28,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,MANICOR…,AmazÙnia,3,0,-7.75255,-61.70332,11.8
29,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,MANICOR…,AmazÙnia,3,0,-7.75115,-61.69374,8.3
30,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,MANICOR…,AmazÙnia,3,0,-7.70916,-61.47253,12
31,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.66664,-61.18457,17.9
32,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.6572,-61.18601,22.2
33,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.58702,-61.04083,9.1
34,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.53424,-61.24234,13.7
35,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-7.53272,-61.23225,36.9
36,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,0,-7.5173,-62.86743,7.6
37,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,0,0.5,-7.49375,-63.78898,15.2
38,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,AmazÙnia,3,0.85,-7.49279,-63.9731,8.6
39,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.05,-7.45018,-64.51761,18
40,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,PAUINI,AmazÙnia,0,0.1,-7.44572,-67.73704,21.7
41,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-7.38223,-60.57704,11.4
42,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-7.38059,-60.56612,8
43,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.07,-7.32929,-64.76653,8
44,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0,-7.31331,-64.65408,6
45,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,L¡BREA,AmazÙnia,0,0.09,-7.31198,-64.64476,6.2
46,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-7.14091,-60.00499,22.9
47,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,0,-7.04641,-62.73822,7.4
48,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.9525,-59.7738,24.6
49,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.95036,-59.61995,13.9
50,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,0,-6.83612,-62.99944,5.3
51,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.80804,-58.9851,19.5
52,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.75516,-59.33005,113.6
53,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.74796,-59.32464,110.9
54,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.74371,-59.29776,41.9
55,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,APU√ç,AmazÙnia,3,0,-6.70798,-59.31001,160.6
56,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,MAU…S,AmazÙnia,3,0,-6.47843,-58.41449,46.8
57,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,HUMAIT¡,AmazÙnia,0,0,-6.35973,-62.0163,6.7
58,10/1/2023,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUAN√,AmazÙnia,3,0,-6.04707,-59.87387,14.9
